Machine_ID,Timestamp,Temperature,Pressure,Vibration_Level,Humidity,Power_Consumption,Failure_Status
MACHINE_002,2025-01-02 04:30:00,54.18,140.38,3.83,44.29,74.18,0
MACHINE_003,2025-01-02 04:40:00,52.64,291.02,4.49,73.33,72.94,0
MACHINE_004,2025-01-02 04:50:00,39.1,129.39,0.7,30.33,22.24,0
MACHINE_005,2025-01-02 05:00:00,32.75,104.75,7.12,75.17,30.22,0
MACHINE_006,2025-01-02 05:10:00,43.9,241.02,5.95,65.49,93.07,0
MACHINE_007,2025-01-02 05:20:00,25.01,490.77,6.3,87.82,80.58,0
MACHINE_008,2025-01-02 05:30:00,56.89,425.74,2.71,35.45,68.46,0
MACHINE_009,2025-01-02 05:40:00,60.09,340.96,7.57,39.12,84.17,0
MACHINE_010,2025-01-02 05:50:00,69.22,421.88,4.24,85.48,63.82,0
MACHINE_001,2025-01-02 06:00:00,62.84,383.15,6.87,75.37,59.01,0
MACHINE_002,2025-01-02 06:10:00,68.91,426.85,2.13,62.11,47.98,0
MACHINE_003,2025-01-02 06:20:00,59.59,248.28,6.38,49.62,30.02,0
MACHINE_004,2025-01-02 06:30:00,41.04,198.43,1.57,57.2,45.43,0
MACHINE_005,2025-01-02 06:40:00,57.18,301.78,5.44,39.95,27.4,0
MACHINE_006,2025-01-02 06:50:00,21.19,414.02,9.27,89.32,44.19,0
MACHINE_007,2025-01-02 07:00:00,34.29,229.31,5.04,48.81,74.71,0
MACHINE_008,2025-01-02 07:10:00,32.48,227.74,0.16,68.08,71.13,0
MACHINE_009,2025-01-02 07:20:00,45.78,470.26,6.58,44.71,71.21,0
MACHINE_010,2025-01-02 07:30:00,78.56,475.45,1.5,66.2,7.33,0
MACHINE_001,2025-01-02 07:40:00,34.91,385.48,7.08,67.72,89.64,0
MACHINE_002,2025-01-02 07:50:00,28.03,456.44,2.41,70.83,67.18,0
MACHINE_003,2025-01-02 08:00:00,23.34,461.98,8.63,73.0,88.34,0
MACHINE_004,2025-01-02 08:10:00,37.06,259.32,8.19,57.1,11.17,0
MACHINE_005,2025-01-02 08:20:00,60.38,415.13,5.29,40.04,62.68,1
MACHINE_006,2025-01-02 08:30:00,43.35,200.87,8.61,58.68,37.4,1
MACHINE_007,2025-01-02 08:40:00,50.97,475.66,0.35,39.08,71.93,0
MACHINE_008,2025-01-02 08:50:00,61.52,131.42,2.06,52.88,29.27,0
MACHINE_009,2025-01-02 09:00:00,73.06,382.09,6.21,37.78,80.75,0
MACHINE_010,2025-01-02 09:10:00,42.68,361.49,2.43,35.42,39.92,0
MACHINE_001,2025-01-02 09:20:00,44.65,249.86,8.08,85.97,38.97,0
MACHINE_002,2025-01-02 09:30:00,42.85,205.68,1.16,72.85,7.89,0
MACHINE_003,2025-01-02 09:40:00,33.6,203.89,7.25,80.07,17.21,0
MACHINE_004,2025-01-02 09:50:00,27.0,140.7,9.29,77.88,5.99,1
MACHINE_005,2025-01-02 10:00:00,76.88,467.15,3.93,47.55,76.39,0
MACHINE_006,2025-01-02 10:10:00,76.28,148.4,8.34,86.34,75.07,0
MACHINE_007,2025-01-02 10:20:00,78.31,267.01,4.56,58.15,24.89,0
MACHINE_008,2025-01-02 10:30:00,63.34,318.6,1.89,41.71,71.68,1
MACHINE_009,2025-01-02 10:40:00,58.88,112.27,8.44,31.83,44.27,0
MACHINE_010,2025-01-02 10:50:00,35.02,498.77,9.58,87.11,58.96,0
MACHINE_001,2025-01-02 11:00:00,49.22,261.37,2.78,64.68,32.1,0
MACHINE_002,2025-01-02 11:10:00,56.71,368.4,6.53,78.9,74.11,0
MACHINE_003,2025-01-02 11:20:00,50.85,375.71,7.76,58.52,71.35,0
MACHINE_004,2025-01-02 11:30:00,59.41,425.97,8.37,53.42,48.51,1
MACHINE_005,2025-01-02 11:40:00,40.89,142.53,3.63,56.87,56.16,0
MACHINE_006,2025-01-02 11:50:00,48.85,261.55,4.86,75.14,23.34,0
MACHINE_007,2025-01-02 12:00:00,36.72,182.18,6.53,69.61,15.12,0
MACHINE_008,2025-01-02 12:10:00,21.28,133.6,3.74,69.59,43.71,1
MACHINE_009,2025-01-02 12:20:00,59.91,357.02,7.12,48.32,53.85,0
MACHINE_010,2025-01-02 12:30:00,79.55,208.89,1.95,86.48,31.15,0
MACHINE_001,2025-01-02 12:40:00,49.38,457.29,6.97,88.49,65.89,0
MACHINE_002,2025-01-02 12:50:00,45.04,168.1,6.3,74.72,85.03,0
MACHINE_003,2025-01-02 13:00:00,39.53,113.86,7.14,42.69,55.3,0
MACHINE_004,2025-01-02 13:10:00,70.2,366.57,6.83,59.52,17.92,0
MACHINE_005,2025-01-02 13:20:00,22.09,384.59,3.33,46.94,58.16,0
MACHINE_006,2025-01-02 13:30:00,63.46,176.99,0.77,33.04,94.08,0
MACHINE_007,2025-01-02 13:40:00,61.4,421.41,9.83,30.14,62.99,0
MACHINE_008,2025-01-02 13:50:00,56.85,382.99,5.5,65.81,41.8,0
MACHINE_009,2025-01-02 14:00:00,66.3,420.54,4.67,70.2,91.61,0
MACHINE_010,2025-01-02 14:10:00,73.98,286.05,8.36,44.5,72.98,0
MACHINE_001,2025-01-02 14:20:00,63.5,432.92,7.5,72.17,54.16,0
MACHINE_002,2025-01-02 14:30:00,46.73,197.35,6.14,86.18,40.35,0
MACHINE_003,2025-01-02 14:40:00,34.33,300.88,6.07,74.67,16.41,0
MACHINE_004,2025-01-02 14:50:00,57.12,176.73,1.75,53.92,75.6,0
MACHINE_005,2025-01-02 15:00:00,54.05,347.97,8.37,53.8,41.67,0
MACHINE_006,2025-01-02 15:10:00,57.24,451.66,8.2,55.39,77.86,0
MACHINE_007,2025-01-02 15:20:00,68.72,352.73,9.49,33.16,13.32,0
MACHINE_008,2025-01-02 15:30:00,58.21,436.43,9.52,69.26,72.41,0
MACHINE_009,2025-01-02 15:40:00,71.93,122.01,0.93,42.8,77.56,0
MACHINE_010,2025-01-02 15:50:00,55.53,347.23,9.66,77.19,17.2,0
MACHINE_001,2025-01-02 16:00:00,78.6,400.08,0.61,65.61,49.88,0
MACHINE_002,2025-01-02 16:10:00,58.31,208.43,1.76,41.99,45.3,0
MACHINE_003,2025-01-02 16:20:00,52.34,304.57,4.53,36.55,81.34,0
MACHINE_004,2025-01-02 16:30:00,52.33,316.51,0.99,88.65,58.76,0
MACHINE_005,2025-01-02 16:40:00,72.3,157.27,1.06,89.79,66.88,0
MACHINE_006,2025-01-02 16:50:00,57.02,241.91,3.61,60.76,79.18,0
MACHINE_007,2025-01-02 17:00:00,38.49,449.76,9.12,38.4,54.59,0
MACHINE_008,2025-01-02 17:10:00,36.96,101.06,0.16,85.73,63.29,0
MACHINE_009,2025-01-02 17:20:00,52.14,190.78,1.76,74.62,22.39,0
MACHINE_010,2025-01-02 17:30:00,30.8,265.02,2.8,78.75,69.87,1
MACHINE_001,2025-01-02 17:40:00,62.11,415.33,3.2,60.97,65.48,0
MACHINE_002,2025-01-02 17:50:00,44.29,163.5,3.83,69.8,25.83,0
MACHINE_003,2025-01-02 18:00:00,31.32,298.7,4.05,72.0,17.87,0
MACHINE_004,2025-01-02 18:10:00,49.83,302.92,2.85,83.08,34.43,0
MACHINE_005,2025-01-02 18:20:00,72.59,387.51,5.67,55.31,18.6,0
MACHINE_006,2025-01-02 18:30:00,25.64,340.26,5.39,85.2,53.59,0
MACHINE_007,2025-01-02 18:40:00,57.69,310.21,4.51,42.14,92.21,0
MACHINE_008,2025-01-02 18:50:00,55.09,257.85,5.23,59.56,41.9,0
MACHINE_009,2025-01-02 19:00:00,20.19,485.79,2.48,32.45,57.13,0
MACHINE_010,2025-01-02 19:10:00,53.44,480.16,2.31,41.29,95.51,0
MACHINE_001,2025-01-02 19:20:00,25.08,485.96,1.52,31.54,43.03,0
MACHINE_002,2025-01-02 19:30:00,21.86,403.38,7.1,82.55,47.97,0
MACHINE_003,2025-01-02 19:40:00,43.95,474.19,4.13,52.56,61.05,0
MACHINE_004,2025-01-02 19:50:00,30.93,230.82,4.0,48.57,17.47,0
MACHINE_005,2025-01-02 20:00:00,37.07,233.6,5.46,80.93,48.88,0
MACHINE_006,2025-01-02 20:10:00,29.6,433.84,0.99,69.89,66.3,0
MACHINE_007,2025-01-02 20:20:00,67.88,152.74,1.18,47.87,11.6,1
MACHINE_008,2025-01-02 20:30:00,74.72,235.52,1.37,40.13,36.84,0
MACHINE_009,2025-01-02 20:40:00,36.33,473.91,2.14,77.96,95.06,0
MACHINE_010,2025-01-02 20:50:00,32.11,398.9,5.89,37.14,12.46,0
MACHINE_001,2025-01-02 21:00:00,35.57,221.42,3.66,51.15,24.74,0
MACHINE_002,2025-01-02 21:10:00,58.7,292.0,1.49,62.31,85.25,0
MACHINE_003,2025-01-02 21:20:00,31.34,245.79,1.31,54.16,53.98,0
MACHINE_004,2025-01-02 21:30:00,40.11,418.47,3.94,30.65,51.71,0
MACHINE_005,2025-01-02 21:40:00,45.12,260.96,1.53,43.09,51.83,0
MACHINE_006,2025-01-02 21:50:00,27.91,466.49,6.41,39.74,11.23,0
MACHINE_007,2025-01-02 22:00:00,30.71,456.9,6.12,71.41,84.19,0
MACHINE_008,2025-01-02 22:10:00,31.7,298.89,7.69,69.82,15.15,0
MACHINE_009,2025-01-02 22:20:00,52.06,172.61,7.79,39.06,60.45,0
MACHINE_010,2025-01-02 22:30:00,44.8,432.15,9.85,39.68,36.6,0
MACHINE_001,2025-01-02 22:40:00,76.23,175.35,8.34,40.91,98.33,0
MACHINE_002,2025-01-02 22:50:00,73.16,277.89,4.71,33.67,54.3,0
MACHINE_003,2025-01-02 23:00:00,29.5,301.83,7.7,45.66,36.53,0
MACHINE_004,2025-01-02 23:10:00,37.61,217.95,5.53,60.57,22.33,0
MACHINE_005,2025-01-02 23:20:00,21.56,454.34,5.66,78.86,55.38,1
MACHINE_006,2025-01-02 23:30:00,41.34,210.9,5.52,34.89,68.35,0
MACHINE_007,2025-01-02 23:40:00,69.66,304.04,2.58,47.77,32.73,0
MACHINE_008,2025-01-02 23:50:00,42.82,213.77,0.88,84.94,92.64,0
MACHINE_009,2025-01-03 00:00:00,71.32,489.58,2.15,66.54,67.74,0
MACHINE_010,2025-01-03 00:10:00,75.69,295.55,0.69,71.87,80.84,0
MACHINE_001,2025-01-03 00:20:00,49.78,142.16,6.12,81.59,38.23,1
MACHINE_002,2025-01-03 00:30:00,53.87,201.04,1.06,40.4,82.49,0
MACHINE_003,2025-01-03 00:40:00,50.78,370.15,5.44,66.66,58.03,0
MACHINE_004,2025-01-03 00:50:00,24.3,409.83,0.54,82.22,61.33,0
MACHINE_005,2025-01-03 01:00:00,66.31,398.24,7.87,67.85,38.43,0
MACHINE_006,2025-01-03 01:10:00,68.27,420.76,7.95,34.91,46.78,0
MACHINE_007,2025-01-03 01:20:00,35.87,207.94,8.99,54.64,29.3,0
MACHINE_008,2025-01-03 01:30:00,21.3,460.88,0.94,69.6,76.44,0
MACHINE_009,2025-01-03 01:40:00,66.55,299.9,9.35,61.48,71.63,0
MACHINE_010,2025-01-03 01:50:00,52.98,464.6,4.51,68.98,32.84,0
MACHINE_001,2025-01-03 02:00:00,64.73,198.33,7.2,86.05,17.6,0
MACHINE_002,2025-01-03 02:10:00,21.33,364.91,6.02,83.96,32.54,1
MACHINE_003,2025-01-03 02:20:00,21.55,236.49,6.63,34.63,99.83,0
MACHINE_004,2025-01-03 02:30:00,44.92,103.52,9.27,70.07,72.43,1
MACHINE_005,2025-01-03 02:40:00,71.33,182.37,7.32,63.74,44.8,0
MACHINE_006,2025-01-03 02:50:00,48.57,426.46,0.74,81.98,61.55,0
MACHINE_007,2025-01-03 03:00:00,30.54,418.46,8.38,65.57,87.19,0
MACHINE_008,2025-01-03 03:10:00,24.98,465.94,8.42,62.77,73.12,0
MACHINE_009,2025-01-03 03:20:00,28.81,348.3,2.88,52.02,99.03,0
MACHINE_010,2025-01-03 03:30:00,30.13,196.76,6.36,82.82,90.42,0
MACHINE_001,2025-01-03 03:40:00,72.38,167.88,8.25,46.67,47.84,0
MACHINE_002,2025-01-03 03:50:00,53.03,114.61,8.46,59.93,74.72,0
MACHINE_003,2025-01-03 04:00:00,72.38,326.5,9.71,53.86,81.73,0
MACHINE_004,2025-01-03 04:10:00,32.26,369.97,7.02,59.12,33.11,0
MACHINE_005,2025-01-03 04:20:00,78.43,196.4,3.29,79.25,42.28,1
MACHINE_006,2025-01-03 04:30:00,23.73,343.54,7.39,47.79,74.06,1
MACHINE_007,2025-01-03 04:40:00,56.85,286.14,1.74,73.05,68.75,0
MACHINE_008,2025-01-03 04:50:00,50.39,201.02,6.31,48.02,24.59,0
MACHINE_009,2025-01-03 05:00:00,30.37,286.93,6.93,67.78,7.0,0
MACHINE_010,2025-01-03 05:10:00,67.39,279.58,8.57,80.11,38.88,0
MACHINE_001,2025-01-03 05:20:00,48.24,385.86,3.87,53.75,61.7,0
MACHINE_002,2025-01-03 05:30:00,75.51,263.12,9.95,47.76,67.17,0
MACHINE_003,2025-01-03 05:40:00,56.49,358.91,4.52,71.71,35.93,0
